,year,exporter,importer,product,value,quantity,exporter_name,importer_name,product_description
1786744,2022,156,586,100610,43099.339,    12123.375,China,Pakistan,Cereals: rice in the husk (paddy or rough)
1803404,2022,156,608,100610,25039.015,     6634.574,China,Philippines,Cereals: rice in the husk (paddy or rough)
1811549,2022,156,620,100610,3.579,        1.620,China,Portugal,Cereals: rice in the husk (paddy or rough)
1858193,2022,156,704,100610,11900.04,    17238.373,China,Viet Nam,Cereals: rice in the husk (paddy or rough)
1862688,2022,156,705,100610,8.61,        1.102,China,Slovenia,Cereals: rice in the husk (paddy or rough)
1867942,2022,156,710,100610,0.282,        1.681,China,South Africa,Cereals: rice in the husk (paddy or rough)
1872263,2022,156,716,100610,0.231,        0.231,China,Zimbabwe,Cereals: rice in the husk (paddy or rough)
1879878,2022,156,729,100610,0.18,        0.060,China,Sudan,Cereals: rice in the husk (paddy or rough)
1905967,2022,156,784,100610,18.109,       57.809,China,United Arab Emirates,Cereals: rice in the husk (paddy or rough)
1919404,2022,156,800,100610,105.87,       19.230,China,Uganda,Cereals: rice in the husk (paddy or rough)
1931216,2022,156,826,100610,4.204,        3.256,China,United Kingdom,Cereals: rice in the husk (paddy or rough)
1935722,2022,156,834,100610,0.19,        0.437,China,United Rep. of Tanzania,Cereals: rice in the husk (paddy or rough)
1939581,2022,156,842,100610,30.182,       49.013,China,USA,Cereals: rice in the husk (paddy or rough)
1944231,2022,156,854,100610,25.036,       45.000,China,Burkina Faso,Cereals: rice in the husk (paddy or rough)
1946611,2022,156,858,100610,0.008,        0.008,China,Uruguay,Cereals: rice in the husk (paddy or rough)
1966086,2022,170,68,100610,0.038,        0.065,Colombia,Bolivia (Plurinational State of),Cereals: rice in the husk (paddy or rough)
1972295,2022,170,188,100610,0.839,       11.641,Colombia,Costa Rica,Cereals: rice in the husk (paddy or rough)
1981048,2022,170,246,100610,0.541,        0.480,Colombia,Finland,Cereals: rice in the husk (paddy or rough)
1983535,2022,170,320,100610,0.083,        0.001,Colombia,Guatemala,Cereals: rice in the husk (paddy or rough)
1995489,2022,170,558,100610,0.055,        0.017,Colombia,Nicaragua,Cereals: rice in the husk (paddy or rough)
1997015,2022,170,591,100610,0.161,        0.191,Colombia,Panama,Cereals: rice in the husk (paddy or rough)
1999812,2022,170,604,100610,0.525,        0.060,Colombia,Peru,Cereals: rice in the husk (paddy or rough)
2012248,2022,170,858,100610,0.077,        0.001,Colombia,Uruguay,Cereals: rice in the husk (paddy or rough)
2040374,2022,188,591,100610,476.677,      311.189,Costa Rica,Panama,Cereals: rice in the husk (paddy or rough)
2052417,2022,191,40,100610,0.618,        0.420,Croatia,Austria,Cereals: rice in the husk (paddy or rough)
2089956,2022,191,528,100610,2.744,        3.350,Croatia,Netherlands,Cereals: rice in the husk (paddy or rough)
2107742,2022,191,705,100610,2.863,        3.500,Croatia,Slovenia,Cereals: rice in the husk (paddy or rough)
2138665,2022,196,528,100610,0.659,        0.839,Cyprus,Netherlands,Cereals: rice in the husk (paddy or rough)
2201796,2022,203,276,100610,5.713,        7.136,Czechia,Germany,Cereals: rice in the husk (paddy or rough)
2210184,2022,203,344,100610,0.116,        0.024,Czechia,"China, Hong Kong SAR",Cereals: rice in the husk (paddy or rough)
2211660,2022,203,348,100610,81.558,       58.929,Czechia,Hungary,Cereals: rice in the husk (paddy or rough)
2255889,2022,203,528,100610,5.813,        3.949,Czechia,Netherlands,Cereals: rice in the husk (paddy or rough)
2289689,2022,203,703,100610,16.573,       32.645,Czechia,Slovakia,Cereals: rice in the husk (paddy or rough)
2333614,2022,204,562,100610,14.529,       23.894,Benin,Niger,Cereals: rice in the husk (paddy or rough)
2333862,2022,204,566,100610,42.222,      258.000,Benin,Nigeria,Cereals: rice in the husk (paddy or rough)
2334726,2022,204,784,100610,30.118,      347.299,Benin,United Arab Emirates,Cereals: rice in the husk (paddy or rough)
2334947,2022,204,854,100610,0.561,        4.200,Benin,Burkina Faso,Cereals: rice in the husk (paddy or rough)
2345999,2022,208,56,100610,119.508,      183.477,Denmark,Belgium,Cereals: rice in the husk (paddy or rough)
2369131,2022,208,203,100610,0.056,        0.020,Denmark,Czechia,Cereals: rice in the husk (paddy or rough)
2385784,2022,208,276,100610,13.855,       23.013,Denmark,Germany,Cereals: rice in the husk (paddy or rough)
2393243,2022,208,304,100610,29.216,       13.999,Denmark,Greenland,Cereals: rice in the husk (paddy or rough)
2401419,2022,208,352,100610,5.803,        4.298,Denmark,Iceland,Cereals: rice in the husk (paddy or rough)
2408928,2022,208,376,100610,0.002,        0.001,Denmark,Israel,Cereals: rice in the husk (paddy or rough)
2443393,2022,208,528,100610,3.322,        3.683,Denmark,Netherlands,Cereals: rice in the husk (paddy or rough)
2451856,2022,208,579,100610,0.54,        0.093,Denmark,Norway,Cereals: rice in the husk (paddy or rough)
2491274,2022,208,752,100610,19.469,        8.000,Denmark,Sweden,Cereals: rice in the husk (paddy or rough)
2522814,2022,214,188,100610,0.407,        0.001,Dominican Rep.,Costa Rica,Cereals: rice in the husk (paddy or rough)
2524913,2022,214,320,100610,67.696,       50.496,Dominican Rep.,Guatemala,Cereals: rice in the husk (paddy or rough)
2538660,2022,218,320,100610,149.199,      392.860,Ecuador,Guatemala,Cereals: rice in the husk (paddy or rough)
2552577,2022,222,320,100610,653.733,     1452.740,El Salvador,Guatemala,Cereals: rice in the husk (paddy or rough)
2565869,2022,226,894,100610,37.907,      124.450,Equatorial Guinea,Zambia,Cereals: rice in the husk (paddy or rough)
2570389,2022,231,156,100610,0.056,        0.001,Ethiopia,China,Cereals: rice in the husk (paddy or rough)
2577072,2022,231,579,100610,0.32,        0.120,Ethiopia,Norway,Cereals: rice in the husk (paddy or rough)
2598455,2022,233,246,100610,1.775,        0.698,Estonia,Finland,Cereals: rice in the husk (paddy or rough)
2615513,2022,233,428,100610,0.032,        0.017,Estonia,Latvia,Cereals: rice in the husk (paddy or rough)
2625533,2022,233,528,100610,0.481,        0.595,Estonia,Netherlands,Cereals: rice in the husk (paddy or rough)
2661000,2022,242,520,100610,28.868,       41.000,Fiji,Nauru,Cereals: rice in the husk (paddy or rough)
2664229,2022,242,776,100610,0.151,        0.100,Fiji,Tonga,Cereals: rice in the husk (paddy or rough)
2665083,2022,242,798,100610,29.799,       40.460,Fiji,Tuvalu,Cereals: rice in the husk (paddy or rough)
2666245,2022,242,876,100610,16.453,       22.240,Fiji,Wallis and Futuna Isds,Cereals: rice in the husk (paddy or rough)
2666605,2022,242,882,100610,0.141,        0.200,Fiji,Samoa,Cereals: rice in the husk (paddy or rough)
2695121,2022,246,233,100610,1.205,        0.249,Finland,Estonia,Cereals: rice in the husk (paddy or rough)
2738252,2022,246,528,100610,6.522,        7.929,Finland,Netherlands,Cereals: rice in the husk (paddy or rough)
2769229,2022,246,724,100610,7.767,        5.250,Finland,Spain,Cereals: rice in the husk (paddy or rough)
2787696,2022,246,842,100610,0.003,        0.001,Finland,USA,Cereals: rice in the husk (paddy or rough)
2796560,2022,251,20,100610,6.868,        5.603,France,Andorra,Cereals: rice in the husk (paddy or rough)
2807561,2022,251,40,100610,5.356,        3.556,France,Austria,Cereals: rice in the husk (paddy or rough)
2817673,2022,251,56,100610,1358.109,     1725.024,France,Belgium,Cereals: rice in the husk (paddy or rough)
2839349,2022,251,124,100610,0.17,        0.037,France,Canada,Cereals: rice in the husk (paddy or rough)
2845480,2022,251,148,100610,0.048,        0.004,France,Chad,Cereals: rice in the husk (paddy or rough)
